gene,gene_full,vulnerability_score
MYLK,MYLK (4638),-0.0038113047
FAM13A,FAM13A (10144),-0.003813608
ACER1,ACER1 (125981),-0.0038143143
CDR2,CDR2 (1039),-0.0038150502
LKAAEAR1,LKAAEAR1 (198437),-0.0038191804
PRR27,PRR27 (401137),-0.0038200908
SLC7A2,SLC7A2 (6542),-0.0038223434
FAM221B,FAM221B (392307),-0.0038228005
INSYN2A,INSYN2A (642938),-0.0038263903
EPM2AIP1,EPM2AIP1 (9852),-0.0038268073
MICALL2,MICALL2 (79778),-0.0038294506
ZRANB2,ZRANB2 (9406),-0.003831698
NUP58,NUP58 (9818),-0.0038331985
SKIL,SKIL (6498),-0.003834609
CCR2,CCR2 (729230),-0.0038352534
VIP,VIP (7432),-0.0038369128
MBNL2,MBNL2 (10150),-0.0038375948
CFAP251,CFAP251 (144406),-0.0038460428
FSIP2,FSIP2 (401024),-0.003849729
QSOX2,QSOX2 (169714),-0.0038499136
MDM1,MDM1 (56890),-0.003851092
RBFA,RBFA (79863),-0.0038513069
OCSTAMP,OCSTAMP (128506),-0.0038539951
RAB33B,RAB33B (83452),-0.0038579823
BCL11A,BCL11A (53335),-0.0038591463
TMEM130,TMEM130 (222865),-0.0038613128
STK17A,STK17A (9263),-0.0038656536
CEP20,CEP20 (123811),-0.0038672655
PREPL,PREPL (9581),-0.0038672904
PSENEN,PSENEN (55851),-0.003872082
ARL13B,ARL13B (200894),-0.0038730332
GCSH,GCSH (2653),-0.0038749385
CLDN2,CLDN2 (9075),-0.0038758405
SAMD11,SAMD11 (148398),-0.0038766267
R3HCC1L,R3HCC1L (27291),-0.003880008
TRAF3,TRAF3 (7187),-0.0038800822
RAP2A,RAP2A (5911),-0.0038808787
AMTN,AMTN (401138),-0.0038836892
ASIC3,ASIC3 (9311),-0.0038879926
GLA,GLA (2717),-0.003891461
CYP51A1,CYP51A1 (1595),-0.0038957852
LY6E,LY6E (4061),-0.0038996544
KLF6,KLF6 (1316),-0.0039002306
TUSC2,TUSC2 (11334),-0.0039025748
PXDN,PXDN (7837),-0.0039028162
MED10,MED10 (84246),-0.0039045613
AOX1,AOX1 (316),-0.0039045776
GKN1,GKN1 (56287),-0.0039113844
PPM1F,PPM1F (9647),-0.003913326
ATRNL1,ATRNL1 (26033),-0.003914497
PLTP,PLTP (5360),-0.003915683
ANKRD52,ANKRD52 (283373),-0.003919389
ZNF805,ZNF805 (390980),-0.0039199274
STX8,STX8 (9482),-0.0039210594
TBPL1,TBPL1 (9519),-0.003923012
ANXA10,ANXA10 (11199),-0.0039284746
MAP7,MAP7 (9053),-0.003929133
ST8SIA2,ST8SIA2 (8128),-0.003931139
JAGN1,JAGN1 (84522),-0.0039362637
LRP1,LRP1 (4035),-0.003936899
MRPL15,MRPL15 (29088),-0.0039419304
DEUP1,DEUP1 (159989),-0.003942354
ZNF140,ZNF140 (7699),-0.003942492
CDHR2,CDHR2 (54825),-0.003950009
CEP295NL,CEP295NL (100653515),-0.0039507495
MST1R,MST1R (4486),-0.0039520483
THAP2,THAP2 (83591),-0.0039527807
CEP72,CEP72 (55722),-0.003956704
MATN4,MATN4 (8785),-0.0039569587
CAB39,CAB39 (51719),-0.003958952
TPSG1,TPSG1 (25823),-0.003959066
PLA2G12B,PLA2G12B (84647),-0.0039616837
CNOT7,CNOT7 (29883),-0.0039619827
GOLGA6B,GOLGA6B (55889),-0.003964207
SINHCAF,SINHCAF (58516),-0.0039665303
CASK,CASK (8573),-0.003967379
ZBTB38,ZBTB38 (253461),-0.0039674463
CSTA,CSTA (1475),-0.0039690626
LTK,LTK (4058),-0.0039714165
IRX3,IRX3 (79191),-0.003971897
CDK18,CDK18 (5129),-0.003971906
YTHDC2,YTHDC2 (64848),-0.0039763637
MOB1B,MOB1B (92597),-0.0039820154
DDIT3,DDIT3 (1649),-0.0039826618
CXCR2,CXCR2 (3579),-0.003985155
ZNF12,ZNF12 (7559),-0.00398526
POMT1,POMT1 (10585),-0.003987462
AVPR1A,AVPR1A (552),-0.003992659
MLXIPL,MLXIPL (51085),-0.003994052
ZNF432,ZNF432 (9668),-0.0039952686
SNTN,SNTN (132203),-0.00399593
CMAS,CMAS (55907),-0.003998542
TPRA1,TPRA1 (131601),-0.003999223
IBSP,IBSP (3381),-0.0040007946
GFAP,GFAP (2670),-0.004000864
ADAMTS2,ADAMTS2 (9509),-0.0040047583
PTPRN,PTPRN (5798),-0.0040071914
ERCC5,ERCC5 (2073),-0.004007939
KPNA2,KPNA2 (3838),-0.0040086154
ABHD13,ABHD13 (84945),-0.0040097646
DND1,DND1 (373863),-0.0040137
ZNF653,ZNF653 (115950),-0.0040169586
SFXN4,SFXN4 (119559),-0.0040174876
STRA6,STRA6 (64220),-0.0040175505
DOCK3,DOCK3 (1795),-0.0040201554
ZNF541,ZNF541 (84215),-0.004020897
ATP8B2,ATP8B2 (57198),-0.004020999
IL36B,IL36B (27177),-0.0040257704
ACP2,ACP2 (53),-0.0040282956
PPP2CB,PPP2CB (5516),-0.0040307464
SQLE,SQLE (6713),-0.004034209
TSC22D4,TSC22D4 (81628),-0.0040342393
MSANTD4,MSANTD4 (84437),-0.0040374943
CCDC74A,CCDC74A (90557),-0.004044029
SERPINB3,SERPINB3 (6317),-0.0040443204
TAC1,TAC1 (6863),-0.004044568
RHD,RHD (6007),-0.0040457514
GPR87,GPR87 (53836),-0.004046033
RGMB,RGMB (285704),-0.004047547
ING5,ING5 (84289),-0.0040483614
TATDN1,TATDN1 (83940),-0.00404884
COA8,COA8 (84334),-0.004049249
SLC8A2,SLC8A2 (6543),-0.0040504
MUC15,MUC15 (143662),-0.004050731
ADAM11,ADAM11 (4185),-0.004050941
C11orf16,C11orf16 (56673),-0.0040520807
PEA15,PEA15 (8682),-0.00405415
ADCY8,ADCY8 (114),-0.004054226
ACBD6,ACBD6 (84320),-0.00405675
PKD1L1,PKD1L1 (168507),-0.0040575988
KRT83,KRT83 (3889),-0.004059617
HENMT1,HENMT1 (113802),-0.0040611275
ADRA1D,ADRA1D (146),-0.0040628337
DENND1A,DENND1A (57706),-0.0040653325
RASSF3,RASSF3 (283349),-0.004065723
PRKD2,PRKD2 (25865),-0.0040661003
USP17L13,USP17L13 (100287238),-0.004068557
CLCN4,CLCN4 (1183),-0.004068871
PSTPIP2,PSTPIP2 (9050),-0.0040709227
CAPN11,CAPN11 (11131),-0.004073933
FAM228A,FAM228A (653140),-0.004078671
ENDOG,ENDOG (2021),-0.0040787435
ASB12,ASB12 (142689),-0.004080466
CFAP97,CFAP97 (57587),-0.0040829354
ZNF449,ZNF449 (203523),-0.004083336
STON1,STON1 (11037),-0.00408371
MYH11,MYH11 (4629),-0.004087484
CAV2,CAV2 (858),-0.0040879715
PRKX,PRKX (5613),-0.00408961
SYNRG,SYNRG (11276),-0.004090106
OSTC,OSTC (58505),-0.0040938584
HGSNAT,HGSNAT (138050),-0.004094183
MATR3,MATR3 (9782),-0.0040951897
ZNF92,ZNF92 (168374),-0.004095501
DLK2,DLK2 (65989),-0.0040970976
CADM1,CADM1 (23705),-0.0040981206
AGTR2,AGTR2 (186),-0.0040988917
CRIP1,CRIP1 (1396),-0.0041013346
PARP1,PARP1 (142),-0.0041069463
RUNDC3B,RUNDC3B (154661),-0.004108595
CDK3,CDK3 (1018),-0.004112711
KRT75,KRT75 (9119),-0.0041128593
HIF3A,HIF3A (64344),-0.0041154237
EPOP,EPOP (100170841),-0.00411891
NLK,NLK (51701),-0.0041227136
RPS6KB1,RPS6KB1 (6198),-0.0041231094
HS2ST1,HS2ST1 (9653),-0.0041246666
KCNH7,KCNH7 (90134),-0.0041273665
CHODL,CHODL (140578),-0.004129614
TMEM87B,TMEM87B (84910),-0.0041347467
OPHN1,OPHN1 (4983),-0.0041386965
CHST15,CHST15 (51363),-0.0041386997
MPPE1,MPPE1 (65258),-0.004145286
ADH6,ADH6 (130),-0.0041456027
NTM,NTM (50863),-0.004146469
KRT84,KRT84 (3890),-0.004146964
PSMD9,PSMD9 (5715),-0.0041485433
ZBED3,ZBED3 (84327),-0.004149395
BBIP1,BBIP1 (92482),-0.00414947
ALDH8A1,ALDH8A1 (64577),-0.0041510896
STK32B,STK32B (55351),-0.00415423
IMPACT,IMPACT (55364),-0.004156022
MADCAM1,MADCAM1 (8174),-0.0041583674
KRTAP5-9,KRTAP5-9 (3846),-0.004159853
NXPE1,NXPE1 (120400),-0.0041630333
BCHE,BCHE (590),-0.0041636825
STAG2,STAG2 (10735),-0.004164981
ACTL9,ACTL9 (284382),-0.004169814
TAS2R13,TAS2R13 (50838),-0.0041734716
SELE,SELE (6401),-0.004175616
ADAM9,ADAM9 (8754),-0.004182689
EXT1,EXT1 (2131),-0.004182786
ZP2,ZP2 (7783),-0.0041860337
IKZF3,IKZF3 (22806),-0.0041861176
ENTPD1,ENTPD1 (953),-0.0041882033
INIP,INIP (58493),-0.00419053
C1QL3,C1QL3 (389941),-0.0041905725
KHDC1,KHDC1 (80759),-0.004190647
SELENOT,SELENOT (51714),-0.004192848
PDK3,PDK3 (5165),-0.0041931793
ZNF30,ZNF30 (90075),-0.004199297
KICS2,KICS2 (144577),-0.0042016623
C12orf60,C12orf60 (144608),-0.004202473
LEAP2,LEAP2 (116842),-0.0042056926
OTOR,OTOR (56914),-0.0042124125
ADGRF5,ADGRF5 (221395),-0.004214518
ZNF385B,ZNF385B (151126),-0.0042177406
GABRG3,GABRG3 (2567),-0.0042194854
PNCK,PNCK (139728),-0.0042264904
LINGO3,LINGO3 (645191),-0.0042266524
SLC10A6,SLC10A6 (345274),-0.004229474
MPND,MPND (84954),-0.0042296
IGLL5,IGLL5 (100423062),-0.0042305645
TMEM196,TMEM196 (256130),-0.004230926
CEBPD,CEBPD (1052),-0.0042317538
LAMP3,LAMP3 (27074),-0.004235702
ATP5MC2,ATP5MC2 (517),-0.0042359945
CSK,CSK (1445),-0.0042391187
CSRNP3,CSRNP3 (80034),-0.004240538
MYOT,MYOT (9499),-0.0042414106
SH2B1,SH2B1 (25970),-0.004241567
ANO9,ANO9 (338440),-0.004243201
DCAF12,DCAF12 (25853),-0.004247126
RELL2,RELL2 (285613),-0.004247381
FLRT1,FLRT1 (23769),-0.0042513735
ZC3H15,ZC3H15 (55854),-0.004252169
FEV,FEV (54738),-0.004252516
SSC4D,SSC4D (136853),-0.0042537902
IAH1,IAH1 (285148),-0.0042540734
IGDCC4,IGDCC4 (57722),-0.0042541283
OTUD5,OTUD5 (55593),-0.0042546852
SYNJ2,SYNJ2 (8871),-0.0042563165
RBM5,RBM5 (10181),-0.0042563975
AGO4,AGO4 (192670),-0.0042631966
PNMA3,PNMA3 (29944),-0.0042638383
MTO1,MTO1 (25821),-0.004266181
TPP2,TPP2 (7174),-0.0042673205
AZIN2,AZIN2 (113451),-0.0042677494
MME,MME (4311),-0.004268848
ARSF,ARSF (416),-0.0042696665
ZNF462,ZNF462 (58499),-0.0042708362
LIM2,LIM2 (3982),-0.0042708744
NTMT2,NTMT2 (149281),-0.0042712907
NFE2,NFE2 (4778),-0.0042716847
TMEM249,TMEM249 (340393),-0.004272075
PLEKHH2,PLEKHH2 (130271),-0.0042745313
RAB42,RAB42 (115273),-0.004279762
EPM2A,EPM2A (7957),-0.004282257
GRID2IP,GRID2IP (392862),-0.004284553
XPC,XPC (7508),-0.004284801
PTGER1,PTGER1 (5731),-0.004287044
GCLC,GCLC (2729),-0.0042898697
C9orf43,C9orf43 (257169),-0.004292126
HP1BP3,HP1BP3 (50809),-0.0042944886
RNF26,RNF26 (79102),-0.00429454
LILRB1,LILRB1 (10859),-0.004294688
SCNN1B,SCNN1B (6338),-0.00429561
NENF,NENF (29937),-0.004295762
RNASE12,RNASE12 (493901),-0.0042987536
GJD3,GJD3 (125111),-0.004303177
ZNF461,ZNF461 (92283),-0.004303178
OPN3,OPN3 (23596),-0.004305028
PPP4R3A,PPP4R3A (55671),-0.004305467
PRDM13,PRDM13 (59336),-0.004306359
ADA2,ADA2 (51816),-0.004307251
F2R,F2R (2149),-0.004307927
CELF6,CELF6 (60677),-0.0043084132
OVOL1,OVOL1 (5017),-0.0043144957
PSRC1,PSRC1 (84722),-0.004317403
ADAM29,ADAM29 (11086),-0.0043181134
ANKRD18A,ANKRD18A (253650),-0.0043198187
CKLF,CKLF (51192),-0.004323085
SEL1L3,SEL1L3 (23231),-0.0043257466
ZNF600,ZNF600 (162966),-0.004327781
C11orf91,C11orf91 (100131378),-0.004331392
PBXIP1,PBXIP1 (57326),-0.004332125
TCF15,TCF15 (6939),-0.004333868
IGSF5,IGSF5 (150084),-0.004336464
PLEKHF1,PLEKHF1 (79156),-0.0043366197
HPCA,HPCA (3208),-0.004338777
FRRS1L,FRRS1L (23732),-0.004342036
CHURC1,CHURC1 (91612),-0.004346961
LARGE2,LARGE2 (120071),-0.004362836
SNAP91,SNAP91 (9892),-0.004368345
EFCAB5,EFCAB5 (374786),-0.004371186
DMAC1,DMAC1 (90871),-0.0043724575
RDH12,RDH12 (145226),-0.004374676
RND2,RND2 (8153),-0.0043768026
IBTK,IBTK (25998),-0.0043775816
FRMD6,FRMD6 (122786),-0.0043778582
UBAC1,UBAC1 (10422),-0.004382726
VAMP5,VAMP5 (10791),-0.004387013
CD244,CD244 (51744),-0.0043891347
NADSYN1,NADSYN1 (55191),-0.00439544
BUD13,BUD13 (84811),-0.004396412
APC2,APC2 (10297),-0.0043975464
PGK2,PGK2 (5232),-0.004401011
LURAP1L,LURAP1L (286343),-0.0044045895
TOX3,TOX3 (27324),-0.004410764
MID2,MID2 (11043),-0.0044166716
CCDC126,CCDC126 (90693),-0.0044167056
TIGAR,TIGAR (57103),-0.0044209044
ULK2,ULK2 (9706),-0.0044212136
TEX29,TEX29 (121793),-0.0044227224
RB1,RB1 (5925),-0.004423063
ENOX2,ENOX2 (10495),-0.0044249445
FGF11,FGF11 (2256),-0.0044263215
CEACAM1,CEACAM1 (634),-0.004428128
LIPG,LIPG (9388),-0.0044285078
RMND5A,RMND5A (64795),-0.0044287387
ATP1B2,ATP1B2 (482),-0.004431489
UBE2O,UBE2O (63893),-0.0044340305
MT1H,MT1H (4496),-0.004435361
FABP4,FABP4 (2167),-0.004435912
MTMR7,MTMR7 (9108),-0.0044377954
ZNF845,ZNF845 (91664),-0.0044386988
USH1C,USH1C (10083),-0.00444297
SHROOM2,SHROOM2 (357),-0.004443305
SDHB,SDHB (6390),-0.004444912
TIAL1,TIAL1 (7073),-0.004453126
HERPUD2,HERPUD2 (64224),-0.0044543333
AFM,AFM (173),-0.0044555133
ASB11,ASB11 (140456),-0.0044594365
ACOT9,ACOT9 (23597),-0.0044594477
MAGEA10,MAGEA10 (4109),-0.0044599553
GPR37L1,GPR37L1 (9283),-0.004461158
CDK5,CDK5 (1020),-0.0044668713
PIGL,PIGL (9487),-0.004471997
FCRL4,FCRL4 (83417),-0.0044732904
L1CAM,L1CAM (3897),-0.0044733253
CACNG7,CACNG7 (59284),-0.0044761943
PAX1,PAX1 (5075),-0.004476652
HOXD4,HOXD4 (3233),-0.0044778907
FOXI1,FOXI1 (2299),-0.0044809263
GABRG2,GABRG2 (2566),-0.0044830926
ZFP28,ZFP28 (140612),-0.004483303
RNF32,RNF32 (140545),-0.004483432
ZNF165,ZNF165 (7718),-0.004483833
TM4SF20,TM4SF20 (79853),-0.004488388
ABI3BP,ABI3BP (25890),-0.0044935495
NOXO1,NOXO1 (124056),-0.0044936016
TIMP2,TIMP2 (7077),-0.004494649
FAM83E,FAM83E (54854),-0.004495928
TOM1L1,TOM1L1 (10040),-0.0044973483
ZNF566,ZNF566 (84924),-0.004499553
CAMKK1,CAMKK1 (84254),-0.0045011686
IQCJ,IQCJ (654502),-0.004504307
DISP1,DISP1 (84976),-0.004505769
SYT6,SYT6 (148281),-0.004506257
MAML3,MAML3 (55534),-0.004509273
SIRPB2,SIRPB2 (284759),-0.0045095277
MBNL1,MBNL1 (4154),-0.004509598
OPN1SW,OPN1SW (611),-0.0045106444
SCGB1D1,SCGB1D1 (10648),-0.004511405
EDNRB,EDNRB (1910),-0.0045138067
B3GNT3,B3GNT3 (10331),-0.004517134
LILRA1,LILRA1 (11024),-0.00452236
PRSS55,PRSS55 (203074),-0.004526645
EEF1D,EEF1D (1936),-0.0045294566
SHROOM1,SHROOM1 (134549),-0.0045331744
JADE2,JADE2 (23338),-0.0045332
KRT82,KRT82 (3888),-0.0045383098
CHRNA5,CHRNA5 (1138),-0.004539657
ZNF627,ZNF627 (199692),-0.004542044
DUOXA2,DUOXA2 (405753),-0.004545594
TRPV6,TRPV6 (55503),-0.004546585
PLEKHA3,PLEKHA3 (65977),-0.004546999
ZIC2,ZIC2 (7546),-0.004551459
ITPKB,ITPKB (3707),-0.004551608
AHRR,AHRR (57491),-0.004559006
CD40LG,CD40LG (959),-0.0045607304
NBEA,NBEA (26960),-0.0045609125
NTHL1,NTHL1 (4913),-0.004561005
CAMK2N2,CAMK2N2 (94032),-0.0045645945
SCAI,SCAI (286205),-0.0045658015
NPDC1,NPDC1 (56654),-0.0045662485
ULK1,ULK1 (8408),-0.0045673144
CCNJL,CCNJL (79616),-0.004568013
CYP1B1,CYP1B1 (1545),-0.004568547
MSL1,MSL1 (339287),-0.0045703356
LCLAT1,LCLAT1 (253558),-0.0045711095
PITX3,PITX3 (5309),-0.004571886
PISD,PISD (23761),-0.0045745512
GRIN1,GRIN1 (2902),-0.004577057
R3HDM1,R3HDM1 (23518),-0.0045777075
CDSN,CDSN (1041),-0.004582444
PRR3,PRR3 (80742),-0.0045866813
MECOM,MECOM (2122),-0.004588358
NDUFAF4,NDUFAF4 (29078),-0.004592006
VASP,VASP (7408),-0.0045922324
AP3M2,AP3M2 (10947),-0.0045931595
CD79B,CD79B (974),-0.0045939633
HTATIP2,HTATIP2 (10553),-0.0045957584
ENTPD3,ENTPD3 (956),-0.004597946
ANPEP,ANPEP (290),-0.004600066
TMX2,TMX2 (51075),-0.0046003577
TNPO2,TNPO2 (30000),-0.0046014986
BAG3,BAG3 (9531),-0.004603235
TREM1,TREM1 (54210),-0.0046080793
TMCC3,TMCC3 (57458),-0.0046088398
SLF1,SLF1 (84250),-0.004612717
TFDP3,TFDP3 (51270),-0.0046144514
SIRT5,SIRT5 (23408),-0.0046200976
DCTD,DCTD (1635),-0.0046202075
MAP6D1,MAP6D1 (79929),-0.0046299775
SOHLH1,SOHLH1 (402381),-0.004630742
TTLL6,TTLL6 (284076),-0.0046335957
TNNT3,TNNT3 (7140),-0.004635217
CLMP,CLMP (79827),-0.0046355263
GRM1,GRM1 (2911),-0.00463659
ABCA7,ABCA7 (10347),-0.0046379496
PCDH18,PCDH18 (54510),-0.004638781
USP40,USP40 (55230),-0.004640163
CSN1S1,CSN1S1 (1446),-0.0046407306
CRAT,CRAT (1384),-0.004643562
TTC31,TTC31 (64427),-0.0046440265
SIGMAR1,SIGMAR1 (10280),-0.0046446547
SCUBE3,SCUBE3 (222663),-0.004648431
TYW3,TYW3 (127253),-0.004649871
C11orf87,C11orf87 (399947),-0.0046502627
AHNAK2,AHNAK2 (113146),-0.0046528154
SLC26A1,SLC26A1 (10861),-0.0046535907
INPP4A,INPP4A (3631),-0.0046594907
SMYD1,SMYD1 (150572),-0.0046668793
BLOC1S6,BLOC1S6 (26258),-0.0046675843
AKAP3,AKAP3 (10566),-0.0046683257
TRIP13,TRIP13 (9319),-0.0046707764
PPP6R2,PPP6R2 (9701),-0.004673663
TMEM182,TMEM182 (130827),-0.0046758954
ZNF362,ZNF362 (149076),-0.004678406
SEMA5B,SEMA5B (54437),-0.004678511
KRTAP11-1,KRTAP11-1 (337880),-0.0046800748
KIAA2013,KIAA2013 (90231),-0.0046815663
SLC35C1,SLC35C1 (55343),-0.0046826513
UBE2F,UBE2F (140739),-0.0046827863
GDF5,GDF5 (8200),-0.004684103
RAD51AP1,RAD51AP1 (10635),-0.004687279
TRAM1L1,TRAM1L1 (133022),-0.0046903533
CCR4,CCR4 (1233),-0.0046921195
CAVIN2,CAVIN2 (8436),-0.0046931007
IFTAP,IFTAP (119710),-0.004693911
LHFPL6,LHFPL6 (10186),-0.004694617
PGLYRP1,PGLYRP1 (8993),-0.00469817
PLPP4,PLPP4 (196051),-0.004698525
POLDIP3,POLDIP3 (84271),-0.004698571
NHEJ1,NHEJ1 (79840),-0.004700257
AMBN,AMBN (258),-0.0047025857
ZBED8,ZBED8 (63920),-0.0047040517
MTTP,MTTP (4547),-0.0047042374
TOP1MT,TOP1MT (116447),-0.0047094584
GRAMD1A,GRAMD1A (57655),-0.004713219
PCDHA4,PCDHA4 (56144),-0.004713437
TREX1,TREX1 (11277),-0.0047143605
SLC15A4,SLC15A4 (121260),-0.004714569
CRP,CRP (1401),-0.0047145966
IPO5,IPO5 (3843),-0.0047156517
PEX1,PEX1 (5189),-0.0047175665
PCDHB2,PCDHB2 (56133),-0.0047179433
PPIL6,PPIL6 (285755),-0.0047182655
ZNF808,ZNF808 (388558),-0.004718515
WRNIP1,WRNIP1 (56897),-0.004720507
NKAPD1,NKAPD1 (55216),-0.0047215433
LAPTM4B,LAPTM4B (55353),-0.0047217505
NLGN2,NLGN2 (57555),-0.00472283
SAT1,SAT1 (6303),-0.0047233202
GPLD1,GPLD1 (2822),-0.004723919
IL17RC,IL17RC (84818),-0.004724787
UGT3A1,UGT3A1 (133688),-0.0047289794
CCL11,CCL11 (6356),-0.004730356
SYNGAP1,SYNGAP1 (8831),-0.004730809
BTN3A3,BTN3A3 (10384),-0.004733816
NR4A2,NR4A2 (4929),-0.0047371904
NPC2,NPC2 (10577),-0.004739163
MYH4,MYH4 (4622),-0.0047392044
PTN,PTN (5764),-0.004741177
TAAR2,TAAR2 (9287),-0.004747103
CHD7,CHD7 (55636),-0.0047481833
ADD3,ADD3 (120),-0.0047498536
HSPA13,HSPA13 (6782),-0.0047542267
COL3A1,COL3A1 (1281),-0.0047559496
PPP1R32,PPP1R32 (220004),-0.0047560264
LYZL4,LYZL4 (131375),-0.0047576004
MAGI2,MAGI2 (9863),-0.004759047
TIGD2,TIGD2 (166815),-0.0047650835
AKR1E2,AKR1E2 (83592),-0.004767684
DXO,DXO (1797),-0.0047679343
TMEM71,TMEM71 (137835),-0.0047685467
COL9A1,COL9A1 (1297),-0.0047711544
CTBP2,CTBP2 (1488),-0.0047735684
NEIL3,NEIL3 (55247),-0.0047736955
GSTM3,GSTM3 (2947),-0.0047765034
PIANP,PIANP (196500),-0.0047825905
AHSP,AHSP (51327),-0.004782615
HAS3,HAS3 (3038),-0.004787184
ECM2,ECM2 (1842),-0.0047873855
PCDHB5,PCDHB5 (26167),-0.0047883433
BCKDHA,BCKDHA (593),-0.0047909073
HOXC8,HOXC8 (3224),-0.0047910647
BRCC3,BRCC3 (79184),-0.0047911555
DYNC2LI1,DYNC2LI1 (51626),-0.00479754
CARF,CARF (79800),-0.004802449
DEPP1,DEPP1 (11067),-0.004803602
H4C4,H4C4 (8360),-0.0048037865
FBXO21,FBXO21 (23014),-0.0048096976
TOLLIP,TOLLIP (54472),-0.004809802
NKAPL,NKAPL (222698),-0.004810326
TMEM202,TMEM202 (338949),-0.0048171445
KRTAP9-7,KRTAP9-7 (100505724),-0.0048220046
DDRGK1,DDRGK1 (65992),-0.0048249764
COL4A2,COL4A2 (1284),-0.0048257476
MAP4K4,MAP4K4 (9448),-0.0048258244
SYCP2,SYCP2 (10388),-0.0048263096
PPME1,PPME1 (51400),-0.0048265927
FCRL6,FCRL6 (343413),-0.0048284708
FAAP100,FAAP100 (80233),-0.0048365686
GRIP1,GRIP1 (23426),-0.004838631
ZNF716,ZNF716 (441234),-0.0048386315
PPM1H,PPM1H (57460),-0.004840038
ZCCHC2,ZCCHC2 (54877),-0.004848021
AXDND1,AXDND1 (126859),-0.004848051
CSAG1,CSAG1 (158511),-0.0048489547
BCAR1,BCAR1 (9564),-0.004852837
BPIFB6,BPIFB6 (128859),-0.0048536737
IL32,IL32 (9235),-0.004854219
CYP4B1,CYP4B1 (1580),-0.004859267
SP8,SP8 (221833),-0.0048597837
CASP6,CASP6 (839),-0.004860931
FOXJ1,FOXJ1 (2302),-0.004867346
HMG20A,HMG20A (10363),-0.004867578
ALOX15B,ALOX15B (247),-0.0048678815
MCEE,MCEE (84693),-0.00486989
NHSL1,NHSL1 (57224),-0.004870638
BRICD5,BRICD5 (283870),-0.0048748977
C1orf56,C1orf56 (54964),-0.004876937
TOX2,TOX2 (84969),-0.0048771487
CNNM2,CNNM2 (54805),-0.004878479
PGPEP1L,PGPEP1L (145814),-0.0048787147
IMPG2,IMPG2 (50939),-0.0048818155
B2M,B2M (567),-0.0048820963
ARID2,ARID2 (196528),-0.0048843906
ASB1,ASB1 (51665),-0.0048865154
RREB1,RREB1 (6239),-0.0048865224
SCN10A,SCN10A (6336),-0.0048884526
BTD,BTD (686),-0.00489351
RCBTB2,RCBTB2 (1102),-0.004893586
REG1B,REG1B (5968),-0.0049009365
MAP4K2,MAP4K2 (5871),-0.0049022404
GCSAML,GCSAML (148823),-0.0049026585
TMEM86B,TMEM86B (255043),-0.004904938
HLA-B,HLA-B (3106),-0.004906505
RCBTB1,RCBTB1 (55213),-0.004906687
MMP9,MMP9 (4318),-0.0049075824
REEP2,REEP2 (51308),-0.004916349
EFNA2,EFNA2 (1943),-0.0049190396
ELK4,ELK4 (2005),-0.004920301
RTN4RL2,RTN4RL2 (349667),-0.0049205567
CER1,CER1 (9350),-0.0049230973
TRAPPC3L,TRAPPC3L (100128327),-0.0049245213
CADPS2,CADPS2 (93664),-0.004926168
LRCH4,LRCH4 (4034),-0.004928134
ZNF441,ZNF441 (126068),-0.0049333717
ADAM19,ADAM19 (8728),-0.0049337316
SGCG,SGCG (6445),-0.0049380097
ASB2,ASB2 (51676),-0.004940476
SMIM13,SMIM13 (221710),-0.0049407906
EGR3,EGR3 (1960),-0.004942785
RUBCNL,RUBCNL (80183),-0.0049446435
NKAIN2,NKAIN2 (154215),-0.004945505
PEX16,PEX16 (9409),-0.0049475287
DPYSL2,DPYSL2 (1808),-0.0049497173
SMIM14,SMIM14 (201895),-0.004951663
MGME1,MGME1 (92667),-0.0049557374
NLRP11,NLRP11 (204801),-0.0049573863
CYB5R2,CYB5R2 (51700),-0.004957896
FAM205A,FAM205A (259308),-0.0049581467
NEU2,NEU2 (4759),-0.0049607647
FNDC11,FNDC11 (79025),-0.004960927
SOX17,SOX17 (64321),-0.0049624112
KLRC4,KLRC4 (8302),-0.00496442
S100Z,S100Z (170591),-0.0049644224
HUNK,HUNK (30811),-0.004965118
TLCD5,TLCD5 (219902),-0.004965136
MTAP,MTAP (4507),-0.0049665454
NRSN2,NRSN2 (80023),-0.00496929
CFAP46,CFAP46 (54777),-0.0049694628
ORM2,ORM2 (5005),-0.0049711056
GABBR1,GABBR1 (2550),-0.0049735596
NDEL1,NDEL1 (81565),-0.0049744435
KIR2DL3,KIR2DL3 (3804),-0.004978143
PI4K2A,PI4K2A (55361),-0.0049825413
GDI1,GDI1 (2664),-0.00498632
AGR2,AGR2 (10551),-0.00498764
PPM1E,PPM1E (22843),-0.0049889004
IL12RB1,IL12RB1 (3594),-0.0049898126
GDF2,GDF2 (2658),-0.004995863
RRAS,RRAS (6237),-0.0049967472
DDHD1,DDHD1 (80821),-0.004998741
TAS2R38,TAS2R38 (5726),-0.005002352
TNK1,TNK1 (8711),-0.0050046304
CARHSP1,CARHSP1 (23589),-0.0050150086
COL15A1,COL15A1 (1306),-0.0050156503
CAV1,CAV1 (857),-0.005016442
CKAP2L,CKAP2L (150468),-0.005018738
KIAA1549L,KIAA1549L (25758),-0.005021941
UBE2QL1,UBE2QL1 (134111),-0.0050224233
KY,KY (339855),-0.0050259624
C11orf86,C11orf86 (254439),-0.0050263633
